,kappa,ev1,ev2,ev_diff,ev_diff_squared,model_diff_squared_real,model_diff_squared_imag,model_var_diff_real,model_var_diff_imag,ev_sum,model_sum_real,model_sum_imag,model_var_sum_real,model_var_sum_imag
54,(1.1831451309983663+1.0168327820018055j),(-1.2338011264801025-0.24924662709236145j),(-1.2557506561279297-0.029324809089303017j),(0.02194952964782715-0.21992181800305843j),(-0.04788382418200951-0.009654360928924355j),-0.023147628179974723,-0.004162604116699447,0.000244306964759744,0.000244306964759744,(-1.2447758913040161-0.13928571809083223j),-1.2358304258892023,-0.13716768067139948,3.063822386217829e-05,3.063822386217829e-05
55,(1.1831937905356589+1.016638282517028j),(-1.2339757680892944-0.24792461097240448j),(-1.2556042671203613-0.030597057193517685j),(0.021628499031066895-0.2173275537788868j),(-0.04676347366117807-0.009400937572661583j),-0.021965677770060154,-0.0039031610354732515,0.00024467967182317807,0.00024467967182317807,(-1.2447900176048279-0.13926083408296108j),-1.2358409175587999,-0.13714752079613704,3.0635718036742254e-05,3.0635718036742254e-05
56,(1.1832401796054863+1.016452363728662j),(-1.2341439723968506-0.24664662778377533j),(-1.2554630041122437-0.03182746842503548j),(0.021319031715393066-0.21481915935873985j),(-0.04569277011431373-0.009159472942886104j),-0.02083607186361273,-0.0036559686039188376,0.00024504398334102007,0.00024504398334102007,(-1.2448034882545471-0.1392370481044054j),-1.2358509334343686,-0.13712824626591827,3.063334731412404e-05,3.063334731412404e-05
57,(1.1832844500164639+1.016274470336796j),(-1.2343060970306396-0.2454102635383606j),(-1.255326747894287-0.03301830217242241j),(0.02102065086364746-0.2123919613659382j),(-0.044668477490138817-0.008929234532237373j),-0.019755410391347573,-0.0034201992882257996,0.00024539994046790525,0.00024539994046790525,(-1.2448164224624634-0.1392142828553915j),-1.2358605048267102,-0.137109799949779,3.063110125756108e-05,3.063110125756108e-05
58,(1.1833267269001813+1.0161041241422228j),(-1.2344623804092407-0.2442135065793991j),(-1.2551950216293335-0.0341714471578598j),(0.020732641220092773-0.2100420594215393j),(-0.04368782431408036-0.008709453318232363j),-0.018720765224455555,-0.003195171617347725,0.0002457475663959485,0.0002457475663959485,(-1.244828701019287-0.13919247686862946j),-1.2358696581346738,-0.13709213247526678,3.06289705881424e-05,3.06289705881424e-05
59,(1.1833671479844945+1.0159408357166118j),(-1.234613299369812-0.24305413663387299j),(-1.2550677061080933-0.03528899699449539j),(0.02045440673828125-0.2077651396393776j),(-0.042747970494355025-0.00849942534443926j),-0.01772914235722474,-0.0029801359478654164,0.00024608700869066524,0.00024608700869066524,(-1.2448405027389526-0.1391715668141842j),-1.2358784213453213,-0.13707519360780818,3.062694670852295e-05,3.062694670852295e-05
60,(1.1834058251724142+1.0157841882603034j),(-1.234758973121643-0.24193033576011658j),(-1.2549446821212769-0.036372676491737366j),(0.02018570899963379-0.2055576592683792j),(-0.04184648843607719-0.008298654185274756j),-0.01677799170614388,-0.002774483753080575,0.00024641837444505654,0.00024641837444505654,(-1.24485182762146-0.13915150612592697j),-1.235886817749566,-0.1370589404003133,3.062502199069339e-05,3.062502199069339e-05
61,(1.1834428655180862+1.0156337885143272j),(-1.234899878501892-0.24084033071994781j),(-1.254825472831726-0.037424150854349136j),(0.019925594329833984-0.20341617986559868j),(-0.04098111292171648-0.008106376560252926j),-0.01586490832150116,-0.002577633315214982,0.00024674180826878,0.00024674180826878,(-1.244862675666809-0.13913224078714848j),-1.2358948694692287,-0.13704333237598718,3.062318946711606e-05,3.062318946711606e-05
62,(1.1834783660604888+1.0154892762437198j),(-1.235036015510559-0.23978249728679657j),(-1.254710078239441-0.03844495117664337j),(0.019674062728881836-0.2013375461101532j),(-0.04014973872939809-0.007922255023700586j),-0.014987689744468626,-0.0023890578142349503,0.00024705746363906655,0.00024705746363906655,(-1.244873046875-0.13911372423171997j),-1.2359025966637671,-0.1370283324246826,3.062144279131207e-05,3.062144279131207e-05
63,(1.1835124192775663+1.015350312351731j),(-1.2351677417755127-0.23875528573989868j),(-1.2545983791351318-0.03943655639886856j),(0.01943063735961914-0.19931872934103012j),(-0.039350406197921795-0.007745779897611271j),-0.014144263420146762,-0.002208255462008788,0.000247365517225262,0.000247365517225262,(-1.2448830604553223-0.13909592106938362j),-1.2359100184221574,-0.13701390564825466,3.061977615970157e-05,3.061977615970157e-05
64,(1.1835451070411742+1.0152166006385483j),(-1.2352954149246216-0.2377573400735855j),(-1.2544898986816406-0.04040021821856499j),(0.019194483757019043-0.19735712185502052j),(-0.03858140534019895-0.007576336139556439j),-0.013332818830530863,-0.0020347817503237747,0.00024766611181803455,0.00024766611181803455,(-1.244892656803131-0.13907877914607525j),-1.2359171515299066,-0.13700002159756647,3.0618184511888025e-05,3.0618184511888025e-05
